NAME                TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)              AGE
carts               ClusterIP      10.101.51.175    <none>        80/TCP               23h
carts-dynamodb      ClusterIP      10.110.19.44     <none>        8000/TCP             23h
catalog             ClusterIP      10.110.28.250    <none>        80/TCP               23h
catalog-mysql       ClusterIP      10.104.47.217    <none>        3306/TCP             23h
checkout            ClusterIP      10.106.195.146   <none>        80/TCP               23h
checkout-redis      ClusterIP      10.111.93.81     <none>        6379/TCP             23h
orders              ClusterIP      10.96.80.241     <none>        80/TCP               23h
orders-postgresql   ClusterIP      10.102.56.95     <none>        5432/TCP             23h
orders-rabbitmq     ClusterIP      10.102.138.230   <none>        5672/TCP,15672/TCP   23h
ui                  LoadBalancer   10.101.195.133   <pending>     80:31559/TCP         23h
