NAME                              READY   STATUS    RESTARTS        AGE     IP             NODE          NOMINATED NODE   READINESS GATES
carts-7b9ddb84db-mjb65            1/1     Running   4 (5d9h ago)    6d8h    10.244.2.91    k8s-worker2   <none>           <none>
carts-dynamodb-56567f6bd8-r5ql8   1/1     Running   3 (5d9h ago)    6d8h    10.244.2.88    k8s-worker2   <none>           <none>
catalog-9c4b9dcf4-l6nrr           1/1     Running   13 (5d9h ago)   6d7h    10.244.1.132   k8s-worker1   <none>           <none>
catalog-mysql-0                   1/1     Running   3 (5d9h ago)    6d7h    10.244.1.127   k8s-worker1   <none>           <none>
checkout-54fb84db9f-84jml         1/1     Running   3 (5d9h ago)    6d8h    10.244.2.90    k8s-worker2   <none>           <none>
checkout-redis-74cb47bfd6-dfkv5   1/1     Running   3 (5d9h ago)    6d8h    10.244.2.92    k8s-worker2   <none>           <none>
orders-5b466fdc4c-xszwv           1/1     Running   5 (5d9h ago)    6d8h    10.244.1.128   k8s-worker1   <none>           <none>
orders-postgresql-0               1/1     Running   3 (5d9h ago)    6d7h    10.244.2.86    k8s-worker2   <none>           <none>
orders-rabbitmq-0                 1/1     Running   4 (5d9h ago)    6d7h    10.244.2.87    k8s-worker2   <none>           <none>
ui-699d9bd74f-6ckm5               1/1     Running   0               2d11h   10.244.1.136   k8s-worker1   <none>           <none>
ui-699d9bd74f-dlr6q               1/1     Running   3 (5d9h ago)    6d8h    10.244.2.85    k8s-worker2   <none>           <none>
