NAME                TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)              AGE   SELECTOR
carts               ClusterIP   10.111.119.57    <none>        80/TCP               8d    app.kubernetes.io/component=service,app.kubernetes.io/instance=carts,app.kubernetes.io/name=carts,app.kubernetes.io/owner=retail-store-sample
carts-dynamodb      ClusterIP   10.102.108.110   <none>        8000/TCP             8d    app.kubernetes.io/component=dynamodb,app.kubernetes.io/instance=carts,app.kubernetes.io/name=carts,app.kubernetes.io/owner=retail-store-sample
catalog             ClusterIP   10.102.33.184    <none>        80/TCP               8d    app.kubernetes.io/component=service,app.kubernetes.io/instance=catalog,app.kubernetes.io/name=catalog,app.kubernetes.io/owner=retail-store-sample
catalog-mysql       ClusterIP   10.110.73.11     <none>        3306/TCP             8d    app.kubernetes.io/component=mysql,app.kubernetes.io/instance=catalog,app.kubernetes.io/name=catalog,app.kubernetes.io/owner=retail-store-sample
checkout            ClusterIP   10.100.81.44     <none>        80/TCP               8d    app.kubernetes.io/component=service,app.kubernetes.io/instance=checkout,app.kubernetes.io/name=checkout,app.kubernetes.io/owner=retail-store-sample
checkout-redis      ClusterIP   10.108.122.198   <none>        6379/TCP             8d    app.kubernetes.io/component=redis,app.kubernetes.io/instance=checkout,app.kubernetes.io/name=checkout,app.kubernetes.io/owner=retail-store-sample
orders              ClusterIP   10.103.10.110    <none>        80/TCP               8d    app.kubernetes.io/component=service,app.kubernetes.io/instance=orders,app.kubernetes.io/name=orders,app.kubernetes.io/owner=retail-store-sample
orders-postgresql   ClusterIP   10.101.99.241    <none>        5432/TCP             8d    app.kubernetes.io/component=postgresql,app.kubernetes.io/instance=orders,app.kubernetes.io/name=orders,app.kubernetes.io/owner=retail-store-sample
orders-rabbitmq     ClusterIP   10.100.0.130     <none>        5672/TCP,15672/TCP   8d    app.kubernetes.io/component=rabbitmq,app.kubernetes.io/instance=orders,app.kubernetes.io/name=orders,app.kubernetes.io/owner=retail-store-sample
ui                  NodePort    10.111.217.196   <none>        80:32653/TCP         8d    app.kubernetes.io/component=service,app.kubernetes.io/instance=ui,app.kubernetes.io/name=ui,app.kubernetes.io/owner=retail-store-sample
