NAME                TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)              AGE   SELECTOR
carts               ClusterIP      10.101.51.175    <none>        80/TCP               38h   app.kubernetes.io/component=service,app.kubernetes.io/instance=carts,app.kubernetes.io/name=carts,app.kubernetes.io/owner=retail-store-sample
carts-dynamodb      ClusterIP      10.110.19.44     <none>        8000/TCP             38h   app.kubernetes.io/component=dynamodb,app.kubernetes.io/instance=carts,app.kubernetes.io/name=carts,app.kubernetes.io/owner=retail-store-sample
catalog             ClusterIP      10.110.28.250    <none>        80/TCP               38h   app.kubernetes.io/component=service,app.kubernetes.io/instance=catalog,app.kubernetes.io/name=catalog,app.kubernetes.io/owner=retail-store-sample
catalog-mysql       ClusterIP      10.104.47.217    <none>        3306/TCP             38h   app.kubernetes.io/component=mysql,app.kubernetes.io/instance=catalog,app.kubernetes.io/name=catalog,app.kubernetes.io/owner=retail-store-sample
checkout            ClusterIP      10.106.195.146   <none>        80/TCP               38h   app.kubernetes.io/component=service,app.kubernetes.io/instance=checkout,app.kubernetes.io/name=checkout,app.kubernetes.io/owner=retail-store-sample
checkout-redis      ClusterIP      10.111.93.81     <none>        6379/TCP             38h   app.kubernetes.io/component=redis,app.kubernetes.io/instance=checkout,app.kubernetes.io/name=checkout,app.kubernetes.io/owner=retail-store-sample
orders              ClusterIP      10.96.80.241     <none>        80/TCP               38h   app.kubernetes.io/component=service,app.kubernetes.io/instance=orders,app.kubernetes.io/name=orders,app.kubernetes.io/owner=retail-store-sample
orders-postgresql   ClusterIP      10.102.56.95     <none>        5432/TCP             38h   app.kubernetes.io/component=postgresql,app.kubernetes.io/instance=orders,app.kubernetes.io/name=orders,app.kubernetes.io/owner=retail-store-sample
orders-rabbitmq     ClusterIP      10.102.138.230   <none>        5672/TCP,15672/TCP   38h   app.kubernetes.io/component=rabbitmq,app.kubernetes.io/instance=orders,app.kubernetes.io/name=orders,app.kubernetes.io/owner=retail-store-sample
ui                  LoadBalancer   10.101.195.133   <pending>     80:31559/TCP         38h   app.kubernetes.io/component=service,app.kubernetes.io/instance=ui,app.kubernetes.io/name=ui,app.kubernetes.io/owner=retail-store-sample
